Ký_tự,Pinyin,Hán_Việt,Số_cách_đọc,Tất_cả_cách_đọc
㙀,liù,~lựu,1,~lựu
㙁,méi,~thi,1,~thi
㙂,duì,~đỗi,1,~đỗi
㙃,bāng,~bựng,1,~bựng
㙄,bì,~bị,1,~bị
㙅,bǎo,bảo,1,bảo
㙇,chù,~súc,1,~súc
㙈,xià,~hạ,1,~hạ
㙉,tiǎn,~điễn,1,~điễn
㙊,cháng,tường,1,tường
㙍,duō,~xuyết,1,~xuyết
㙎,wēi,uy,1,uy
㙏,fù,~phụ,1,~phụ
㙐,duǒ,~đóa,1,~đóa
㙑,yǔ,~vũ,1,~vũ
㙒,yě,~dã,1,~dã
㙓,kuí,~quỳ,1,~quỳ
㙔,wěi,~duy,1,~duy
㙕,kuài,~khối,1,~khối
㙗,wēi,~uy,1,~uy
㙘,yāo,~yêu,1,~yêu
㙙,lǒng,lũng,1,lũng
㙚,xīng,~tinh,1,~tinh
㙛,bǔ,bảo,1,bảo
㙜,chí,~trì,1,~trì
㙝,xié,~tà,1,~tà
㙞,niè,~nồi,1,~nồi
㙟,lǎng,lãng,1,lãng
㙠,yī,~y,1,~y
㙡,zōng,~tông,1,~tông
㙢,mán,~man,1,~man
㙣,zhàng,trướng,1,trướng
㙤,xià,hố,1,hố
㙥,gùn,~côn,1,~côn
㙦,xié,tà,1,tà
㙧,liú,lưu,1,lưu
㙨,jì,~ký,1,~ký
㙩,liáo,liêu,1,liêu
㙪,yì,~đệm,1,~đệm
㙫,jí,~tức,1,~tức
㙬,yín,ngân,1,ngân
㙮,dā,đắp,1,đắp
㙯,yì,~đệm,1,~đệm
㙰,xiè,~tiết,1,~tiết
㙱,hào,~hạo,1,~hạo
㙲,yǒng,ung,1,ung
㙳,kǎn,khảm,1,khảm
㙴,chàn,thềm,1,thềm
㙵,tái,~đài,1,~đài
㙶,táng,đường,1,đường
㙷,zhí,~chấp,1,~chấp
㙸,bào,~báo,1,~báo
㙹,méng,~mông,1,~mông
㙺,kuí,~quỳ,1,~quỳ
㙻,chán,triền,1,triền
