Ký_tự,Pinyin,Hán_Việt,Số_cách_đọc,Tất_cả_cách_đọc
損,sǔn,tốn,3,tốn / tổn / ~tốn
損,sǔn,tổn,3,tốn / tổn / ~tốn
損,sǔn,~tốn,3,tốn / tổn / ~tốn
搎,sūn,tôn,2,tôn / dun
搎,sūn,dun,2,tôn / dun
搏,bó,bác,2,bác / vác
搏,bó,vác,2,bác / vác
搐,chù,súc,1,súc
搒,bàng,bang,2,bang / bãng
搒,bàng,bãng,2,bang / bãng
搓,cuō,tha,2,tha / sai
搓,cuō,sai,2,tha / sai
搔,sāo,tao,3,tao / trảo / trao
搔,sāo,trảo,3,tao / trảo / trao
搔,sāo,trao,3,tao / trảo / trao
搕,kē,khạp,1,khạp
搖,yáo,diêu,4,diêu / dao / gieo / ~gieo
搖,yáo,dao,4,diêu / dao / gieo / ~gieo
搖,yáo,gieo,4,diêu / dao / gieo / ~gieo
搖,yáo,~gieo,4,diêu / dao / gieo / ~gieo
搗,dǎo,đảo,2,đảo / đẽo
搗,dǎo,đẽo,2,đảo / đẽo
搘,zhī,chi,1,chi
搙,nù,nục,1,nục
搛,jiān,kiêm,2,kiêm / gom
搛,jiān,gom,2,kiêm / gom
搜,sōu,sưu,2,sưu / sảo
搜,sōu,sảo,2,sưu / sảo
搝,qiǔ,xỏ,1,xỏ
搞,gǎo,cảo,2,cảo / cào
搞,gǎo,cào,2,cảo / cào
搠,shuò,sóc,1,sóc
搡,sǎng,táng,1,táng
搢,jìn,tấn,1,tấn
搣,miè,diệt,1,diệt
搤,è,ách,1,ách
搥,chuí,đôi,3,đôi / truỳ / trùy
搥,chuí,truỳ,3,đôi / truỳ / trùy
搥,chuí,trùy,3,đôi / truỳ / trùy
搦,nuò,nhược,2,nhược / nạch
搦,nuò,nạch,2,nhược / nạch
搧,shān,thiên,1,thiên
搨,tà,tháp,1,tháp
搪,táng,đường,1,đường
搫,pán,bàn,1,bàn
搬,bān,bàn,3,bàn / ban / bưng
搬,bān,ban,3,bàn / ban / bưng
搬,bān,bưng,3,bàn / ban / bưng
搭,dā,đáp,2,đáp / đắp
搭,dā,đắp,2,đáp / đắp
搮,lì,lắt,1,lắt
搯,tāo,đào,1,đào
搰,hú,hột,1,hột
搱,zhi4,chí,1,chí
搲,wā,oa,1,oa
搳,huá,hoa,1,hoa
搴,qiān,khiên,1,khiên
搵,wèn,ùn,5,ùn / uẩn / vấn / ấn / uấn
搵,wèn,uẩn,5,ùn / uẩn / vấn / ấn / uấn
搵,wèn,vấn,5,ùn / uẩn / vấn / ấn / uấn
搵,wèn,ấn,5,ùn / uẩn / vấn / ấn / uấn
搵,wèn,uấn,5,ùn / uẩn / vấn / ấn / uấn
搶,qiǎng,thương,3,thương / thưởng / thướng
搶,qiǎng,thưởng,3,thương / thưởng / thướng
搶,qiǎng,thướng,3,thương / thưởng / thướng
搷,tián,chẩn,1,chẩn
搸,zhen1,chân,1,chân
搹,e4,ác,1,ác
携,xié,huề,1,huề
搼,quan2,quyền,1,quyền
搽,chá,trà,1,trà
搾,zhà,trá,1,trá
搿,gé,cách,1,cách
摀,wǔ,ô,1,ô
摁,èn,ấn,1,ấn
摂,shè,~nhép,1,~nhép
摃,káng,~giăng,1,~giăng
摄,shè,nhiếp,3,nhiếp / nhép / ~nhép
摄,shè,nhép,3,nhiếp / nhép / ~nhép
摄,shè,~nhép,3,nhiếp / nhép / ~nhép
摅,shū,~lựa,3,~lựa / sư / lựa
摅,shū,sư,3,~lựa / sư / lựa
摅,shū,lựa,3,~lựa / sư / lựa
摆,bǎi,bi,5,bi / bãi / bài / bẫy / ~bẫy
摆,bǎi,bãi,5,bi / bãi / bài / bẫy / ~bẫy
摆,bǎi,bài,5,bi / bãi / bài / bẫy / ~bẫy
摆,bǎi,bẫy,5,bi / bãi / bài / bẫy / ~bẫy
摆,bǎi,~bẫy,5,bi / bãi / bài / bẫy / ~bẫy
摇,yáo,diêu,4,diêu / dao / gieo / ~gieo
摇,yáo,dao,4,diêu / dao / gieo / ~gieo
摇,yáo,gieo,4,diêu / dao / gieo / ~gieo
摇,yáo,~gieo,4,diêu / dao / gieo / ~gieo
摈,bìn,tấn,4,tấn / thấn / bấn / ~bấn
摈,bìn,thấn,4,tấn / thấn / bấn / ~bấn
摈,bìn,bấn,4,tấn / thấn / bấn / ~bấn
摈,bìn,~bấn,4,tấn / thấn / bấn / ~bấn
摊,tān,than,2,than / nặn
摊,tān,nặn,2,than / nặn
摋,sà,sát,1,sát
摎,jiū,cưu,1,cưu
摏,chōng,thung,1,thung
摐,chuāng,~song,1,~song
摑,guāi,quặc,2,quặc / quách
摑,guāi,quách,2,quặc / quách
摒,bìng,bính,1,bính
摓,féng,phùng,2,phùng / bồng
摓,féng,bồng,2,phùng / bồng
摔,shuāi,suất,1,suất
摕,dì,đế,1,đế
摘,zhāi,trích,1,trích
摙,liǎn,liễn,2,liễn / lèn
摙,liǎn,lèn,2,liễn / lèn
摚,chēng,~xênh,1,~xênh
摛,chī,si,1,si
摜,guàn,quán,1,quán
摝,lù,lục,1,lục
摞,luò,loa,1,loa
摟,lǒu,lâu,2,lâu / lùa
摟,lǒu,lùa,2,lâu / lùa
摠,zǒng,tổng,1,tổng
摡,gài,cái,1,cái
摢,hu4,hồ,1,hồ
摣,zhā,~trát,1,~trát
摤,chuang3,song,1,song
摥,tang4,đường,1,đường
摦,huà,thoại,1,thoại
摧,cuī,tỏa,2,tỏa / tồi
摧,cuī,tồi,2,tỏa / tồi
摩,mó,ma,1,ma
摪,jiāng,rướn,1,rướn
摬,ying3,anh,1,anh
摭,zhí,trích,2,trích / chích
摭,zhí,chích,2,trích / chích
摮,áo,ngao,1,ngao
摯,zhì,chí,1,chí
摰,niè,nghiệt,1,nghiệt
摱,màn,mần,1,mần
摲,chàn,sảm,1,sảm
摳,kōu,khu,3,khu / khua / ~khua
摳,kōu,khua,3,khu / khua / ~khua
摳,kōu,~khua,3,khu / khua / ~khua
摴,chū,sư,1,sư
摵,shè,tố,1,tố
摶,tuán,chuyên,3,chuyên / đoàn / ~đoàn
摶,tuán,đoàn,3,chuyên / đoàn / ~đoàn
摶,tuán,~đoàn,3,chuyên / đoàn / ~đoàn
摷,jiǎo,tiễu,1,tiễu
摸,mō,mô,3,mô / mạc / mò
摸,mō,mạc,3,mô / mạc / mò
摸,mō,mò,3,mô / mạc / mò
摹,mó,mô,2,mô / mò
摹,mó,mò,2,mô / mò
摺,zhé,lạp,3,lạp / triệp / dập
摺,zhé,triệp,3,lạp / triệp / dập
摺,zhé,dập,3,lạp / triệp / dập
摻,càn,sam,3,sam / sảm / ~sọm
摻,càn,sảm,3,sam / sảm / ~sọm
摻,chān,~sọm,3,sam / sảm / ~sọm
摼,kēng,ken,1,ken
摽,biào,phiếu,2,phiếu / phiêu
摽,biāo,phiêu,2,phiếu / phiêu
摿,yáo,~gieo,1,~gieo
撂,liào,lược,1,lược
撃,jī,kích,1,kích
撄,yīng,anh,2,anh / oanh
撄,yīng,oanh,2,anh / oanh
撅,juē,quyết,4,quyết / quệ / quyệt / quét
撅,juē,quệ,4,quyết / quệ / quyệt / quét
撅,juē,quyệt,4,quyết / quệ / quyệt / quét
撅,juē,quét,4,quyết / quệ / quyệt / quét
撆,piē,biết,1,biết
撇,piē,phiết,1,phiết
撈,lāo,lao,3,lao / liệu / lau
撈,lāo,liệu,3,lao / liệu / lau
撈,lāo,lau,3,lao / liệu / lau
撉,dūn,đôn,1,đôn
撊,xiàn,giản,1,giản
撋,ruán,nhuyên,1,nhuyên
撌,guì,quấy,1,quấy
撍,zǎn,~toàn,1,~toàn
撎,yì,nhắt,1,nhắt
撏,xián,tầm,3,tầm / triêm / ~triêm
撏,xián,triêm,3,tầm / triêm / ~triêm
撏,xián,~triêm,3,tầm / triêm / ~triêm
撐,chēng,xênh,3,xênh / xanh / chống
撐,chēng,xanh,3,xênh / xanh / chống
撐,chēng,chống,3,xênh / xanh / chống
撑,chēng,xênh,3,xênh / xanh / chống
撑,chēng,xanh,3,xênh / xanh / chống
撑,chēng,chống,3,xênh / xanh / chống
撒,sā,tản,2,tản / tát
撒,sā,tát,2,tản / tát
撓,náo,nạo,2,nạo / nhéo
撓,náo,nhéo,2,nạo / nhéo
撔,hòng,ngảnh,1,ngảnh
撕,sī,tê,2,tê / ty
撕,sī,ty,2,tê / ty
撖,hàn,hạm,1,hạm
撗,guang4,quang,1,quang
撘,dā,đáp,1,đáp
撙,zǔn,tỗn,2,tỗn / tổn
撙,zǔn,tổn,2,tỗn / tổn
撚,niǎn,nhiên,3,nhiên / niễn / niên
撚,niǎn,niễn,3,nhiên / niễn / niên
撚,niǎn,niên,3,nhiên / niễn / niên
撝,huī,huy,2,huy / vày
撝,huī,vày,2,huy / vày
撞,zhuàng,tràng,2,tràng / chàng
撞,zhuàng,chàng,2,tràng / chàng
撟,jiǎo,kiều,4,kiều / kiểu / kiệu / kéo
撟,jiǎo,kiểu,4,kiều / kiểu / kiệu / kéo
撟,jiǎo,kiệu,4,kiều / kiểu / kiệu / kéo
撟,jiǎo,kéo,4,kiều / kiểu / kiệu / kéo
撡,cāo,thao,1,thao
撢,dǎn,đạn,2,đạn / đùm
撢,dǎn,đùm,2,đạn / đùm
撣,dǎn,đàn,3,đàn / đạn / ~đùm
撣,dǎn,đạn,3,đàn / đạn / ~đùm
撣,dǎn,~đùm,3,đàn / đạn / ~đùm
撤,chè,triệt,1,triệt
撥,bō,bát,2,bát / ~vá
撥,bō,~vá,2,bát / ~vá
撦,chě,xả,1,xả
撧,juē,tuyệt,1,tuyệt
撩,liāo,liêu,3,liêu / liệu / lêu
撩,liāo,liệu,3,liêu / liệu / lêu
撩,liāo,lêu,3,liêu / liệu / lêu
撫,fǔ,phủ,4,phủ / mô / vỗ / ~vỗ
撫,fǔ,mô,4,phủ / mô / vỗ / ~vỗ
撫,fǔ,vỗ,4,phủ / mô / vỗ / ~vỗ
撫,fǔ,~vỗ,4,phủ / mô / vỗ / ~vỗ
撬,qiào,khiêu,1,khiêu
播,bō,bá,3,bá / bả / vá
播,bō,bả,3,bá / bả / vá
播,bō,vá,3,bá / bả / vá
撮,cuō,toát,1,toát
撯,zhuo2,trác,1,trác
撰,zhuàn,chuyển,3,chuyển / soạn / tuyển
撰,zhuàn,soạn,3,chuyển / soạn / tuyển
撰,zhuàn,tuyển,3,chuyển / soạn / tuyển
撱,wěi,vĩ,1,vĩ
撲,pū,bạc,3,bạc / phác / vục
撲,pū,phác,3,bạc / phác / vục
撲,pū,vục,3,bạc / phác / vục
撳,qìn,khấm,1,khấm
撴,dūn,đun,1,đun
撵,niǎn,niện,2,niện / liễn
撵,niǎn,liễn,2,niện / liễn
撶,hua2,hoa,1,hoa
撷,xié,hiệt,2,hiệt / ~huề
撷,xié,~huề,2,hiệt / ~huề
撸,lǔ,trỏ,2,trỏ / lỗ
撸,lū,lỗ,2,trỏ / lỗ
撹,jiǎo,giảo,1,giảo
撺,cuān,thoán,2,thoán / ~thoán
撺,cuān,~thoán,2,thoán / ~thoán
撻,tà,thát,1,thát
撼,hàn,hám,1,hám
撽,qiào,khiếu,1,khiếu
撾,wō,qua,2,qua / ~qua
撾,wō,~qua,2,qua / ~qua
撿,jiǎn,kiểm,2,kiểm / ~kiểm
撿,jiǎn,~kiểm,2,kiểm / ~kiểm
擀,gǎn,cán,1,cán
擁,yōng,ung,3,ung / ủng / dùng
擁,yōng,ủng,3,ung / ủng / dùng
擁,yōng,dùng,3,ung / ủng / dùng
擂,léi,lôi,3,lôi / lụy / luỵ
擂,léi,lụy,3,lôi / lụy / luỵ
擂,léi,luỵ,3,lôi / lụy / luỵ
擃,nǎng,nống,1,nống
擄,lǔ,lỗ,1,lỗ
擅,shàn,thiện,2,thiện / chen
擅,shàn,chen,2,thiện / chen
擇,zé,trạch,2,trạch / ~trạch
擇,zé,~trạch,2,trạch / ~trạch
擉,chuò,trạc,2,trạc / thọc
擉,chuò,thọc,2,trạc / thọc
擊,jī,kích,2,kích / ~kích
擊,jī,~kích,2,kích / ~kích
擋,dǎng,đảng,2,đảng / đáng
擋,dǎng,đáng,2,đảng / đáng
操,cāo,thao,2,thao / tháo
操,cāo,tháo,2,thao / tháo
擎,qíng,kình,1,kình
擏,qíng,~kình,1,~kình
擐,huàn,hoàn,1,hoàn
擒,qín,cầm,1,cầm
擓,kuǎi,khối,1,khối
擔,dān,đam,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,tạ,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,đảm,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,đán,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,đắn,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,dứt,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,đét,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,đẵm,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擔,dān,đẵn,9,đam / tạ / đảm / đán / đắn / dứt / đét / đẵm / đẵn
擕,xié,huề,1,huề
擖,kā,ca,1,ca
擗,pǐ,tịch,3,tịch / phích / bịch
擗,pǐ,phích,3,tịch / phích / bịch
擗,pǐ,bịch,3,tịch / phích / bịch
擘,bò,phách,2,phách / bịch
擘,bò,bịch,2,phách / bịch
擙,ào,~húc,1,~húc
據,jù,cứ,3,cứ / cớ / cư
據,jù,cớ,3,cứ / cớ / cư
據,jù,cư,3,cứ / cớ / cư
擛,yè,dẹp,1,dẹp
擜,è,ngột,1,ngột
擝,mēng,~manh,1,~manh
擞,sǒu,tẩu,2,tẩu / ~tẩu
擞,sǒu,~tẩu,2,tẩu / ~tẩu
擠,jǐ,tê,3,tê / tễ / ~tễ
擠,jǐ,tễ,3,tê / tễ / ~tễ
擠,jǐ,~tễ,3,tê / tễ / ~tễ
擡,tái,đài,1,đài
擢,zhuó,trạc,1,trạc
擣,dǎo,đảo,2,đảo / đẽo
擣,dǎo,đẽo,2,đảo / đẽo
擤,xǐng,xỉ,1,xỉ
擥,lǎn,lãm,1,lãm
擦,cā,sát,2,sát / xát
擦,cā,xát,2,sát / xát
擧,jǔ,cử,1,cử
擨,yé,gia,1,gia
擩,rǔ,nhũ,1,nhũ
擪,yè,áp,1,áp
擫,yè,áp,1,áp
擬,nǐ,nghĩ,2,nghĩ / ~nghĩ
擬,nǐ,~nghĩ,2,nghĩ / ~nghĩ
擭,wò,hoạch,3,hoạch / hộ / oách
擭,wò,hộ,3,hoạch / hộ / oách
擭,wò,oách,3,hoạch / hộ / oách
擯,bìn,tấn,4,tấn / thấn / bấn / ~bấn
擯,bìn,thấn,4,tấn / thấn / bấn / ~bấn
擯,bìn,bấn,4,tấn / thấn / bấn / ~bấn
擯,bìn,~bấn,4,tấn / thấn / bấn / ~bấn
擰,níng,ninh,2,ninh / ~ninh
擰,níng,~ninh,2,ninh / ~ninh
擱,gē,các,3,các / gác / ~gác
擱,gē,gác,3,các / gác / ~gác
擱,gē,~gác,3,các / gác / ~gác
擲,zhì,trịch,2,trịch / ~chí
擲,zhì,~chí,2,trịch / ~chí
擳,zhì,~chí,1,~chí
擴,kuò,khoáng,5,khoáng / khuếch / quẳng / khoách / ~quẳng
擴,kuò,khuếch,5,khoáng / khuếch / quẳng / khoách / ~quẳng
擴,kuò,quẳng,5,khoáng / khuếch / quẳng / khoách / ~quẳng
擴,kuò,khoách,5,khoáng / khuếch / quẳng / khoách / ~quẳng
擴,kuò,~quẳng,5,khoáng / khuếch / quẳng / khoách / ~quẳng
擵,mó,ma,1,ma
擷,xié,hiệt,2,hiệt / ~huề
擷,xié,~huề,2,hiệt / ~huề
擸,liè,liệp,2,liệp / xợp
擸,liè,xợp,2,liệp / xợp
擺,bǎi,bãi,3,bãi / bài / bẫy
擺,bǎi,bài,3,bãi / bài / bẫy
擺,bǎi,bẫy,3,bãi / bài / bẫy
擻,sǒu,tẩu,2,tẩu / ~tẩu
擻,sǒu,~tẩu,2,tẩu / ~tẩu
擼,lǔ,trỏ,2,trỏ / lỗ
擼,lū,lỗ,2,trỏ / lỗ
擽,lüè,lịch,1,lịch
擾,rǎo,nhiễu,2,nhiễu / ~nhiễu
擾,rǎo,~nhiễu,2,nhiễu / ~nhiễu
擿,tī,thích,2,thích / trích
擿,tī,trích,2,thích / trích
攀,pān,phan,2,phan / phàn
攀,pān,phàn,2,phan / phàn
攁,yang3,dương,1,dương
攂,lèi,lôi,1,lôi
攃,cā,thát,1,thát
攄,shū,sư,2,sư / lựa
攄,shū,lựa,2,sư / lựa
攅,zǎn,toàn,1,toàn
攆,niǎn,niện,2,niện / liễn
攆,niǎn,liễn,2,niện / liễn
攈,jùn,quấn,1,quấn
攉,huō,hoắc,1,hoắc
攋,là,lại,1,lại
攏,lǒng,long,2,long / lũng
攏,lǒng,lũng,2,long / lũng
攐,qiān,khiên,1,khiên
攑,qiān,gỡ,1,gỡ
攒,zǎn,toản,3,toản / toàn / ~toàn
攒,zǎn,toàn,3,toản / toàn / ~toàn
攒,zǎn,~toàn,3,toản / toàn / ~toàn
攓,qiān,kiển,1,kiển
攔,lán,lan,3,lan / dan / ~dan
攔,lán,dan,3,lan / dan / ~dan
攔,lán,~dan,3,lan / dan / ~dan
攖,yīng,anh,2,anh / oanh
攖,yīng,oanh,2,anh / oanh
攘,rǎng,nhương,4,nhương / nhưỡng / nhường / nhương.
攘,rǎng,nhưỡng,4,nhương / nhưỡng / nhường / nhương.
攘,rǎng,nhường,4,nhương / nhưỡng / nhường / nhương.
攘,rǎng,nhương.,4,nhương / nhưỡng / nhường / nhương.
攙,chān,sam,3,sam / sọm / ~sọm
攙,chān,sọm,3,sam / sọm / ~sọm
攙,chān,~sọm,3,sam / sọm / ~sọm
攛,cuān,thoán,2,thoán / ~thoán
攛,cuān,~thoán,2,thoán / ~thoán
攜,xié,huề,1,huề
攝,shè,nhiếp,3,nhiếp / nhép / ~nhép
攝,shè,nhép,3,nhiếp / nhép / ~nhép
攝,shè,~nhép,3,nhiếp / nhép / ~nhép
攞,luó,rà,1,rà
攟,jùn,quấn,1,quấn
攠,mi2,mật,1,mật
攢,zǎn,toản,3,toản / toàn / ~toàn
攢,zǎn,toàn,3,toản / toàn / ~toàn
攢,zǎn,~toàn,3,toản / toàn / ~toàn
攣,luán,luyến,3,luyến / luyên / loan
攣,luán,luyên,3,luyến / luyên / loan
攣,luán,loan,3,luyến / luyên / loan
攤,tān,than,2,than / nặn
攤,tān,nặn,2,than / nặn
攥,zuàn,toản,1,toản
攦,li4,lý,1,lý
攧,diān,điên,1,điên
攨,wa1,oa,1,oa
攩,dǎng,đảng,1,đảng
攪,jiǎo,giảo,1,giảo
攫,jué,quặc,2,quặc / quắp
攫,jué,quắp,2,quặc / quắp
攬,lǎn,lãm,1,lãm
攭,li4,lý,1,lý
攮,nǎng,nãng,2,nãng / nện
攮,nǎng,nện,2,nãng / nện
支,zhī,chi,1,chi
攰,guì,hội,1,hội
攱,gui3,quy,1,quy
攲,qī,khi,1,khi
攴,pū,phộc,2,phộc / phác
攴,pū,phác,2,phộc / phác
攵,pū,phộc,2,phộc / phác
攵,pū,phác,2,phộc / phác
收,shōu,thu,2,thu / thú
收,shōu,thú,2,thu / thú
攷,kǎo,khảo,1,khảo
攸,yōu,du,1,du
改,gǎi,cải,1,cải
攺,yǐ,cải,1,cải
攻,gōng,công,1,công
攼,gān,can,1,can
攽,bān,ban,1,ban
放,fàng,phỏng,2,phỏng / phóng
放,fàng,phóng,2,phỏng / phóng
政,zhèng,chánh,2,chánh / chính
政,zhèng,chính,2,chánh / chính
敀,po4,phá,1,phá
敁,diān,điêm,1,điêm
敂,kòu,khấu,1,khấu
敃,mǐn,mẫn,1,mẫn
敄,wù,~vụ,1,~vụ
故,gù,cố,1,cố
敇,cè,sách,1,sách
效,xiào,hiệu,1,hiệu
敉,mǐ,mị,1,mị
敊,chu4,xử,1,xử
敋,gé,~cách,1,~cách
敌,dí,địch,1,địch
敍,xù,tự,1,tự
敎,jiào,giao,2,giao / giáo
敎,jiào,giáo,2,giao / giáo
敏,mǐn,mẫn,1,mẫn
救,jiù,cứu,1,cứu
敓,duó,thoát,1,thoát
敔,yǔ,ngữ,1,ngữ
敕,chì,sắc,1,sắc
敖,áo,ngao,3,ngao / ngạo / ngào
敖,áo,ngạo,3,ngao / ngạo / ngào
敖,áo,ngào,3,ngao / ngạo / ngào
敗,bài,bại,1,bại
敘,xù,tự,1,tự
教,jiào,giáo,2,giáo / giao
教,jiào,giao,2,giáo / giao
敚,duó,thoát,1,thoát
敛,liǎn,~liễm,3,~liễm / liễm / liệm
敛,liǎn,liễm,3,~liễm / liễm / liệm
敛,liǎn,liệm,3,~liễm / liễm / liệm
敜,niè,niếp,1,niếp
敝,bì,tệ,1,tệ
敞,chǎng,sưởng,1,sưởng
敟,dian3,điện,1,điện
敠,duō,~xuyết,1,~xuyết
敡,yì,~dịch,1,~dịch
敢,gǎn,cảm,2,cảm / cám
敢,gǎn,cám,2,cảm / cám
散,sàn,tản,2,tản / tán
散,sàn,tán,2,tản / tán
敤,ke3,khắc,1,khắc
敥,yan4,ngôn,1,ngôn
敦,dūn,đôn,4,đôn / đôi / độn / đối
敦,dūn,đôi,4,đôn / đôi / độn / đối
敦,dūn,độn,4,đôn / đôi / độn / đối
敦,dūn,đối,4,đôn / đôi / độn / đối
敧,jī,~cơ,1,~cơ
敨,tou3,đầu,1,đầu
敩,xiào,hiệu,1,hiệu
敪,duō,xuyết,1,xuyết
敫,jiǎo,kiểu,1,kiểu
敬,jìng,kính,1,kính
敭,yáng,dương,1,dương
敮,xia2,hạ,1,hạ
敯,mǐn,mẫn,1,mẫn
数,shù,tố,5,tố / xúc / sác / số / sổ
数,shù,xúc,5,tố / xúc / sác / số / sổ
数,shù,sác,5,tố / xúc / sác / số / sổ
数,shù,số,5,tố / xúc / sác / số / sổ
数,shù,sổ,5,tố / xúc / sác / số / sổ
敱,ái,ngai,1,ngai
敲,qiāo,xao,1,xao
敳,ái,~ngai,1,~ngai
整,zhěng,chỉnh,1,chỉnh
敵,dí,địch,1,địch
敷,fū,phu,1,phu
數,shù,xúc,4,xúc / sác / số / sổ
數,shù,sác,4,xúc / sác / số / sổ
數,shù,số,4,xúc / sác / số / sổ
數,shù,sổ,4,xúc / sác / số / sổ
敹,liáo,liêu,1,liêu
敺,qū,khu,1,khu
敻,xiòng,quýnh,2,quýnh / huyến
敻,xiòng,huyến,2,quýnh / huyến
敼,yi3,nghĩa,1,nghĩa
敽,jiǎo,kiểu,1,kiểu
敾,shàn,thiện,1,thiện
敿,jiǎo,kiểu,1,kiểu
斀,zhuo2,trác,1,trác
斁,yì,dịch,2,dịch / đố
斁,yì,đố,2,dịch / đố
斂,liǎn,liễm,2,liễm / liệm
斂,liǎn,liệm,2,liễm / liệm
斃,bì,tễ,2,tễ / ~bí
斃,bì,~bí,2,tễ / ~bí
斄,lí,lai,1,lai
斅,xiào,hiệu,1,hiệu
斆,xiào,hiệu,1,hiệu
文,wén,văn,2,văn / vấn
文,wén,vấn,2,văn / vấn
斈,xué,học,1,học
斉,qí,tề,1,tề
斋,zhāi,trai,1,trai
斌,bīn,bân,1,bân
斍,jué,~quyết,1,~quyết
斎,zhāi,trai,1,trai
斐,fěi,phỉ,1,phỉ
斑,bān,ban,1,ban
斒,bān,ban,1,ban
斓,lán,lan,2,lan / ~lan
斓,lán,~lan,2,lan / ~lan
斔,yǔ,~dữu,1,~dữu
斕,lán,lan,2,lan / ~lan
斕,lán,~lan,2,lan / ~lan
斗,dòu,đấu,2,đấu / đẩu
斗,dòu,đẩu,2,đấu / đẩu
料,liào,liêu,2,liêu / liệu
料,liào,liệu,2,liêu / liệu
斚,jiǎ,giả,1,giả
斛,hú,hộc,1,hộc
斜,xié,gia,2,gia / tà
斜,xié,tà,2,gia / tà
斝,jiǎ,giả,1,giả
斞,yǔ,dữu,1,dữu
斟,zhēn,châm,1,châm
斠,jiào,các,3,các / giác / dác
斠,jiào,giác,3,các / giác / dác
斠,jiào,dác,3,các / giác / dác
斡,wò,quản,2,quản / oát
斡,wò,oát,2,quản / oát
斢,tiǎo,~điệu,1,~điệu
斤,jīn,cấn,2,cấn / cân
斤,jīn,cân,2,cấn / cân
斥,chì,xích,2,xích / xịch
斥,chì,xịch,2,xích / xịch
斧,fǔ,phủ,2,phủ / búa
斧,fǔ,búa,2,phủ / búa
斨,qiāng,thương,1,thương
斩,zhǎn,trảm,2,trảm / ~trảm
斩,zhǎn,~trảm,2,trảm / ~trảm
斫,zhuó,chước,1,chước
斬,zhǎn,trảm,2,trảm / ~trảm
斬,zhǎn,~trảm,2,trảm / ~trảm
断,duàn,đoạn,2,đoạn / đoán
断,duàn,đoán,2,đoạn / đoán
斮,cuò,trác,1,trác
斯,sī,tư,1,tư
新,xīn,tân,1,tân
斲,zhuó,trác,1,trác
斴,lín,lân,1,lân
斵,zhuó,trác,1,trác
斶,chù,~súc,1,~súc
斷,duàn,đoạn,2,đoạn / đoán
斷,duàn,đoán,2,đoạn / đoán
斸,zhǔ,trọc,1,trọc
方,fāng,phương,1,phương
斺,chan3,thiền,1,thiền
斻,hang2,hàng,1,hàng
於,yú,ô,2,ô / ư
於,yú,ư,2,ô / ư
施,shī,thi,4,thi / dị / thí / thỉ
施,shī,dị,4,thi / dị / thí / thỉ
施,shī,thí,4,thi / dị / thí / thỉ
施,shī,thỉ,4,thi / dị / thí / thỉ
斾,pèi,bái,1,bái
斿,yóu,du,1,du
旀,mèi,~mị,1,~mị
旁,páng,bàng,4,bàng / banh / bạng / phang
旁,páng,banh,4,bàng / banh / bạng / phang
旁,páng,bạng,4,bàng / banh / bạng / phang
旁,páng,phang,4,bàng / banh / bạng / phang
旂,qí,kì,3,kì / kỳ / cờ
旂,qí,kỳ,3,kì / kỳ / cờ
旂,qí,cờ,3,kì / kỳ / cờ
旃,zhān,chiên,1,chiên
旄,máo,mạo,2,mạo / mao
旄,máo,mao,2,mạo / mao
旅,lǚ,lữ,1,lữ
旆,pèi,bái,1,bái
旇,pi1,tỉ,1,tỉ
旈,liú,lưu,1,lưu
旉,fū,phu,1,phu
旊,fǎng,phưởng,1,phưởng
旋,xuán,hoàn,3,hoàn / toàn / tuyền
旋,xuán,toàn,3,hoàn / toàn / tuyền
旋,xuán,tuyền,3,hoàn / toàn / tuyền
旌,jīng,tinh,1,tinh
旍,jīng,~tinh,1,~tinh
旎,nǐ,nỉ,1,nỉ
族,zú,tộc,1,tộc
旐,zhào,triệu,1,triệu
旒,liú,lưu,1,lưu
旓,shāo,sao,1,sao
旕,yú,~dư,1,~dư
旖,yǐ,y,2,y / ỷ
旖,yǐ,ỷ,2,y / ỷ
旗,qí,kỳ,3,kỳ / cờ / kì
旗,qí,cờ,3,kỳ / cờ / kì
旗,qí,kì,3,kỳ / cờ / kì
旘,zhì,~xí,1,~xí
旙,fān,phiên,1,phiên
旛,fān,phan,2,phan / phướn
旛,fān,phướn,2,phan / phướn
旜,zhān,~chiên,1,~chiên
旝,kuài,quái,1,quái
旟,yú,dư,1,dư
无,wú,mô,2,mô / vô
无,wú,vô,2,mô / vô
旡,jì,ký,1,ký
既,jì,ký,1,ký
旣,jì,ký,1,ký
旤,huò,hoạ,2,hoạ / họa
旤,huò,họa,2,hoạ / họa
日,rì,nhật,1,nhật
旦,dàn,đán,1,đán
旧,jiù,cựu,2,cựu / cữu
旧,jiù,cữu,2,cựu / cữu
旨,zhǐ,chỉ,1,chỉ
早,zǎo,tảo,1,tảo
旪,xié,hiệp,1,hiệp
